StockCode,Description,ReturnRate,TotalUnits
21929,JUMBO BAG PINK VINTAGE PAISLEY,0.0104,26226.0
22241,"GARLAND , WOODEN  "" HAPPY EASTER""",0.0,105.0
21091,SET/6 WOODLAND PAPER PLATES,0.0,13700.0
21733,RED HANGING HEART T-LIGHT HOLDER,0.023,18423.0
22178,VICTORIAN GLASS HANGING T-LIGHT,0.0242,41758.0
22125,UNION JACK HOT WATER BOTTLE,0.0874,721.0
21671,RED SPOT CERAMIC DRAWER KNOB,0.0174,9760.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS,0.016,37177.0
22294,HEART FILIGREE DOVE  SMALL,0.0062,17234.0
22199,FRYING PAN RED POLKADOT,0.1851,1486.0
22083,PAPER CHAIN KIT RETRO SPOT,0.0572,8042.0
22114,HOT WATER BOTTLE TEA AND SYMPATHY,0.0173,12682.0
21485,RED SPOT HEART HOT WATER BOTTLE,0.0056,2481.0
21928,JUMBO BAG SCANDINAVIAN PAISLEY,0.0018,16396.0
85099B,JUMBO BAG RED WHITE SPOTTY,0.0004,14077.0
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",0.0645,4762.0
20724,RED SPOTTY CHARLOTTE BAG,0.0081,11666.0
21592,RETRO SPOT  CIGAR BOX MATCHES,0.0077,3132.0
20725,LUNCH BAG RED SPOTTY,0.0181,18478.0
20728,LUNCH BAG CARS BLUE,0.0438,26032.0
20726,LUNCH BAG WOODLAND,0.0435,23356.0
21217,RED SPOTTY ROUND CAKE TINS,0.0197,1522.0
22195,LARGE HEART MEASURING SPOONS,0.0036,5214.0
85066,CREAM SWEETHEART MINI CHEST,0.0335,3257.0
20827,GOLD APERITIF GLASS,0.0,173.0
20825,GOLD WINE GLASS,0.0163,367.0
20823,GOLD WINE GOBLET,0.0151,265.0
20826,SILVER APERITIF GLASS,0.0,355.0
22087,PAPER BUNTING WHITE LACE,0.0183,8691.0
85206A,CREAM FELT EASTER EGG BASKET,0.0042,2368.0
21895,POTTING SHED SOW 'N' GROW SET,0.0071,561.0
21896,POTTING SHED TWINE,0.0058,2426.0
84946,ANTIQUE SILVER TEA GLASS ETCHED,0.0058,23513.0
22090,PAPER BUNTING RETRO SPOTS,0.048,8714.0
90200A,PURPLE SWEETHEART BRACELET,0.0212,189.0
90200D,PINK SWEETHEART BRACELET,0.0088,341.0
90200B,BLACK SWEETHEART BRACELET,0.0211,190.0
90200E,GREEN SWEETHEART BRACELET,0.0696,230.0
90200C,BLUE SWEETHEART BRACELET,0.0186,215.0
90185C,BLACK DIAMANTE EXPANDABLE RING,0.299,97.0
90185B,AMETHYST DIAMANTE EXPANDABLE RING,0.2184,87.0
90003C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,0.1167,60.0
90003D,CRYSTAL PAIR HEART HAIR SLIDES,0.1045,67.0
90003B,ROSE COLOUR PAIR HEART HAIR SLIDES,0.1346,52.0
90209C,PINK ENAMEL+GLASS HAIR COMB,0.0147,408.0
90209A,PURPLE ENAMEL+GLASS HAIR COMB,0.0495,182.0
90082D,DIAMANTE BOW BROOCH BLACK COLOUR,0.0177,113.0
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.0038,57013.0
84991,60 TEATIME FAIRY CAKE CASES,0.0064,55066.0
22273,FELTCRAFT DOLL MOLLY,0.1652,8880.0
22179,SET 10 LIGHTS NIGHT OWL,0.0094,1603.0
22320,BIRDS MOBILE VINTAGE DESIGN,0.0368,625.0
22232,3 PIECE JIGSAW TOADSTOOLS,0.0,16.0
84598,BOYS ALPHABET IRON ON PATCHES,0.0269,21375.0
79323S,SILVER CHERRY LIGHTS,0.3253,495.0
84568,GIRLS ALPHABET IRON ON PATCHES,0.0219,39439.0
21668,RED STRIPE CERAMIC DRAWER KNOB,0.0082,10551.0
21669,BLUE STRIPE CERAMIC DRAWER KNOB,0.0098,10869.0
21670,BLUE SPOT CERAMIC DRAWER KNOB,0.0079,9069.0
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,0.0055,11272.0
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,0.0099,10379.0
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,0.0736,2066.0
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,0.0008,2450.0
21161,KEEP OUT BOYS DOOR HANGER,0.0348,2471.0
21162,TOXIC AREA  DOOR HANGER,0.0337,2491.0
21248,DOOR HANGER  MUM + DADS ROOM,0.0675,1126.0
21159,MOODY BOY  DOOR HANGER,0.0351,2195.0
82494L,WOODEN FRAME ANTIQUE WHITE,0.0308,16580.0
82486,WOOD S/3 CABINET ANT WHITE FINISH,0.0154,4222.0
82483,WOOD 2 DRAWER CABINET WHITE FINISH,0.0532,5390.0
21212,PACK OF 72 RETRO SPOT CAKE CASES,0.0137,47404.0
72756,FAIRY CAKE CANDLES,0.0062,4046.0
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,0.0068,2343.0
37450,CERAMIC CAKE BOWL + HANGING CAKES,0.0283,2547.0
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",0.0,779.0
21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,0.0185,595.0
21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,0.0079,382.0
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",0.0306,947.0
21711,FOLDING UMBRELLA  WHITE/RED  SPOT,0.0,262.0
20747,PICCADILLY TEA SET,0.0058,688.0
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,0.001,966.0
20753,RETRO PINK SPOT WASHING UP GLOVES,0.0091,220.0
20751,FUNKY WASHING UP GLOVES ASSORTED,0.001,2944.0
48185,DOOR MAT FAIRY CAKE,0.0023,1735.0
21481,FAWN BLUE HOT WATER BOTTLE,0.0857,9359.0
85042,ANTIQUE LILY FAIRY LIGHTS,0.0589,2854.0
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,0.0114,1759.0
22149,FELTCRAFT 6 FLOWER FRIENDS,0.0489,13586.0
21482,MUSHROOM BLUE HOT WATER BOTTLE,0.008,750.0
21484,CHICK GREY HOT WATER BOTTLE,0.0129,4878.0
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,0.0172,1164.0
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,0.0012,2550.0
84582,PINK CROCHET CAT WITH SCARF,0.0,15.0
20972,PINK CREAM FELT CRAFT TRINKET BOX,0.0673,22258.0
84327A,PINK JUMPER LARRY THE LAMB,0.0041,965.0
21490,SET OF THREE 50'S GIFT WRAPS,0.042,667.0
21063,PARTY INVITES JAZZ HEARTS,0.0027,1496.0
21058,PARTY INVITES WOODLAND,0.0049,2434.0
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,0.0046,4379.0
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,0.0197,4058.0
22301,COFFEE MUG CAT + BIRD DESIGN,0.0147,5229.0
22300,COFFEE MUG DOG + BALL DESIGN,0.0147,4292.0
21231,SWEETHEART CERAMIC TRINKET BOX,0.0161,20090.0
20870,OPULENT VELVET CANDLE IN BOX,0.0323,31.0
90121B,VINTAGE ROSE BEAD BRACELET BLUE,0.1364,22.0
90175A,WHITE GLASS CHUNKY CHARM BRACELET,0.069,116.0
90195B,BLACK GEMSTONE BRACELET,0.0606,66.0
90062,CARNIVAL BRACELET,0.028,214.0
21930,JUMBO STORAGE BAG SKULLS,0.0004,13663.0
21540,DAIRY MAID CERAMIC BUTTER DISH,0.0945,127.0
21533,RETRO SPOT LARGE MILK JUG,0.0257,1753.0
85083,KISS REINDEER SCANDINAVIAN STOCKING,0.5455,11.0
21472,LADYBIRD + BEE RAFFIA FOOD COVER,0.0,1066.0
47566B,TEA TIME PARTY BUNTING,0.2126,7690.0
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,0.0049,1024.0
21479,WHITE SKULL HOT WATER BOTTLE,0.0277,7068.0
21791,VINTAGE HEADS AND TAILS CARD GAME,0.0548,19662.0
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,0.1464,17237.0
37449,CERAMIC CAKE STAND + HANGING CAKES,0.0957,2674.0
37446,MINI CAKE STAND WITH HANGING CAKES,0.0241,3907.0
21258,VICTORIAN SEWING BOX LARGE,0.0734,1826.0
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,0.1654,127.0
47591D,PINK FAIRY CAKE CHILD'S APRON,0.0,3440.0
21867,PINK UNION JACK  LUGGAGE TAG,0.0,1182.0
82551,LAUNDRY 15C METAL SIGN,0.0011,5696.0
82567,"AIRLINE LOUNGE,METAL SIGN",0.0008,1232.0
82613D,METAL SIGN CUPCAKE SINGLE HOOK,0.0164,1218.0
21179,NO JUNK MAIL METAL SIGN,0.0028,4334.0
21865,PINK UNION JACK  PASSPORT COVER,0.0066,914.0
72783,BLACK SIL'T SQU CANDLE PLATE,0.0,43.0
20719,WOODLAND CHARLOTTE BAG,0.0054,25080.0
21869,POTTING SHED COFFEE MUG,0.0132,1284.0
21876,POTTERING MUG,0.0146,5813.0
84849B,FAIRY SOAP SOAP HOLDER,0.0065,1985.0
21864,UNION JACK FLAG PASSPORT COVER,0.02,2005.0
21470,FLOWER VINE RAFFIA FOOD COVER,0.008,1130.0
20897,VINTAGE NOTEBOOK PARIS DAYS,0.0479,376.0
44230,SQUARE MIRROR CURTAIN,0.028,357.0
37485,ENGLISH ROSE TEA SET IN GIFT BOX,0.0,49.0
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,0.0066,1975.0
21245,GREEN  SPOTTY PLATE,0.0,1317.0
21241,GREEN SPOTTY CUP,0.0005,2106.0
21705,BAG 500g SWIRLY MARBLES,0.01,2589.0
21913,VINTAGE SEASIDE JIGSAW PUZZLES,0.0034,1161.0
16207A,PINK STRAWBERRY HANDBAG,0.0,143.0
21821,GLITTER STAR GARLAND WITH BELLS,0.0174,749.0
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,0.0247,3112.0
21584,RETRO SPOT SMALL TUBE MATCHES,0.0098,2050.0
21931,JUMBO STORAGE BAG SUKI,0.013,29893.0
47591A,CAROUSEL DES CHILD'S APRON,0.0496,141.0
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,0.0007,4261.0
22122,SET OF 2 FANCY FONT TEA TOWELS,0.0,1097.0
21837,CROSS STITCH ALPHABET CUSHION COVER,0.0081,247.0
84951A,S/4 PISTACHIO LOVEBIRD COASTERS,0.0,107.0
22335,HEART DECORATION PAINTED ZINC,0.0535,9251.0
85129A,"WHITE PEARL BEADED HEART, SMALL",0.0263,457.0
84791,GINGHAM HEART DECORATION,0.0175,343.0
21244,BLUE  SPOTTY PLATE,0.0025,2412.0
20675,BLUE SPOTTY BOWL,0.0066,2868.0
82616B,FRAPPUCINO SCARF KNITTING KIT,0.016,624.0
22276,WASH BAG VINTAGE ROSE PAISLEY,0.0086,1973.0
84912B,GREEN ROSE WASHBAG,0.0,1149.0
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,0.2598,739.0
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,0.0,1919.0
21326,AGED GLASS SILVER T-LIGHT HOLDER,0.0055,18458.0
84949,SILVER HANGING T-LIGHT HOLDER,0.041,12811.0
21908,CHOCOLATE THIS WAY METAL SIGN,0.0032,9897.0
21371,MIRRORED WALL ART POPPIES,0.0,404.0
85152,HAND OVER THE CHOCOLATE   SIGN,0.006,16746.0
21133,PAINTED BIRD ASSORTED CHRISTMAS,0.0,424.0
20984,12 PENCILS TALL TUBE POSY,0.0353,6123.0
20982,12 PENCILS TALL TUBE SKULLS,0.0059,4957.0
84971L,LARGE HEART FLOWERS HOOK,0.0407,615.0
90168,2 DAISIES HAIR COMB,0.1224,49.0
84884A,ANT WHITE WIRE HEART SPIRAL,0.0006,1779.0
90013C,GREEN VINTAGE EARRINGS,0.0108,93.0
90023,FILIGREE DIAMANTE EARRINGS,0.0,32.0
90067A,PINK VINTAGE VICTORIAN EARRINGS,0.0,33.0
90067B,BROWN VINTAGE VICTORIAN EARRINGS,0.0,16.0
90145,SILVER HOOP EARRINGS WITH FLOWER,0.0,76.0
90000A,RASPBERRY ANT COPPER FLOWER NECKLAC,0.0,33.0
90024B,NEW BAROQUE B'FLY NECKLACE RED,0.0714,28.0
90036D,"FLOWER GLASS GARLAND NECKL.36""BLACK",0.0,39.0
90134,OLD ROSE COMBO BEAD NECKLACE,0.0,127.0
90131,PINK/AMETHYST/GOLD NECKLACE,0.0,10.0
90199C,5 STRAND GLASS NECKLACE CRYSTAL,0.0185,108.0
35751C,PURPLE CURRENT CANDLE RING,0.0,31.0
72739B,WHITE CHOCOLATE SCENT CANDLE,0.0,394.0
22212,FOUR HOOK  WHITE LOVEBIRDS,0.0096,4154.0
48187,DOOR MAT NEW ENGLAND,0.0015,2029.0
48195,DOOR MAT GREEN PAISLEY,0.0146,274.0
72741,GRAND CHOCOLATECANDLE,0.0031,20240.0
85232D,SET/3 DECOUPAGE STACKING TINS,0.0176,738.0
20828,GLITTER BUTTERFLY CLIPS,0.0067,4511.0
22080,RIBBON REEL SPOTS DESIGN,0.0138,2251.0
22082,RIBBON REEL STRIPES DESIGN,0.0041,7566.0
21784,SHOE SHINE BOX,0.0227,309.0
21172,PARTY METAL SIGN,0.0098,7836.0
82600,NO SINGING METAL SIGN,0.0037,11726.0
22282,12 EGG HOUSE PAINTED WOOD,0.0035,567.0
21842,PINK HEART CANDY BUTTON CALCULATOR,0.0,551.0
22089,PAPER BUNTING VINTAGE PAISLEY,0.0171,3577.0
20734,SILVER MINI TAPE MEASURE,0.0006,1599.0
35071,ASSORTED SANTA CHRISTMAS DECORATION,0.0,50.0
22121,NOEL WOODEN BLOCK LETTERS,0.0052,1546.0
84836,ZINC METAL HEART DECORATION,0.005,20353.0
37492A,YELLOW RED FLOWER PIGGY BANK,0.0092,109.0
10133,COLOURING PENCILS BROWN TUBE,0.0051,3902.0
22113,GREY HEART HOT WATER BOTTLE,0.0053,6091.0
20782,CAMOUFLAGE EAR MUFF HEADPHONES,0.0393,178.0
22190,LOCAL CAFE MUG,0.0007,1429.0
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,0.0081,7403.0
21489,BLUE WHITE SCARF HOT WATER BOTTLE,0.0,28.0
20987,GEISHA GIRL CHOPSTICKS SET/5,0.0,131.0
20989,URBAN CHIC CHOPSTICKS SET/5,0.0049,409.0
21868,POTTING SHED TEA MUG,0.0219,9462.0
21875,KINGS CHOICE MUG,0.0102,6931.0
21826,EIGHT PIECE DINOSAUR SET,0.0322,1894.0
21827,EIGHT PIECE CREEPY CRAWLIE SET,0.0152,856.0
21828,EIGHT PIECE SNAKE  SET,0.0,1118.0
16225,RATTLE SNAKE EGGS,0.0,1530.0
21829,DINOSAUR KEYRINGS ASSORTED,0.0186,15558.0
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,0.0076,1056.0
22218,CAKE STAND LACE WHITE,0.05,1300.0
22222,CAKE PLATE LOVEBIRD WHITE,0.0033,1504.0
22305,COFFEE MUG PINK PAISLEY DESIGN,0.0048,2304.0
22304,COFFEE MUG BLUE PAISLEY DESIGN,0.0074,2446.0
22302,COFFEE MUG PEARS  DESIGN,0.0074,4970.0
22303,COFFEE MUG APPLES DESIGN,0.0249,5591.0
22127,PARTY CONES CARNIVAL ASSORTED,0.0273,3596.0
21143,ANTIQUE GLASS HEART DECORATION,0.0088,2275.0
21639,ASSORTED TUTTI FRUTTI KEYRING,0.03,267.0
22154,ANGEL DECORATION 3 BUTTONS,0.0249,8190.0
22155,STAR DECORATION RUSTIC,0.0083,6385.0
21889,WOODEN BOX OF DOMINOES,0.0116,13386.0
85045,GREEN CHRISTMAS TREE STRING 20LIGHT,0.0246,488.0
85044,RED REINDEER STRING OF 20 LIGHTS,0.0323,155.0
21587,COSY HOUR GIANT TUBE MATCHES,0.0027,2217.0
21588,RETRO SPOT GIANT  TUBE MATCHES,0.0181,1323.0
21818,GLITTER CHRISTMAS HEART,0.0,1964.0
21819,GLITTER CHRISTMAS STAR,0.0,3938.0
21817,GLITTER CHRISTMAS TREE,0.0,1772.0
48111,DOOR MAT 3 SMILEY CATS,0.0076,1847.0
20685,RED SPOTTY COIR DOORMAT,0.0068,1183.0
48194,DOORMAT HEARTS,0.0036,6161.0
21495,SKULLS WRAP,0.0,3400.0
47505,MINATURE COLOURED GARDENING SET,0.0251,757.0
10135,COLOURING PENCILS BROWN TUBE,0.0026,4284.0
37492C,GREEN BLUE FLOWER PIGGY BANK,0.0041,243.0
20677,PINK SPOTTY BOWL,0.0,3583.0
20676,RED SPOTTY BOWL,0.0088,4671.0
21086,SET/6 RED SPOTTY PAPER CUPS,0.0448,17695.0
21948,SET OF 6 CAKE CHOPSTICKS,0.0,2310.0
21833,CAMOUFLAGE LED TORCH,0.0281,6753.0
21832,CHOCOLATE CALCULATOR,0.0121,3481.0
22315,200 RED + WHITE BENDY STRAWS,0.0023,2205.0
21870,I CAN ONLY PLEASE ONE PERSON MUG,0.0149,6495.0
22115,METAL SIGN EMPIRE TEA,0.0003,2914.0
21166,COOK WITH WINE METAL SIGN,0.027,20687.0
21175,GIN + TONIC DIET METAL SIGN,0.0907,22442.0
21174,POTTERING IN THE SHED METAL SIGN,0.0004,9817.0
22197,"POPCORN HOLDER , SMALL",0.0044,3203.0
21094,SET/6 RED SPOTTY PAPER PLATES,0.0364,20923.0
72724,SET/6 CHRISTMAS ICICLE T-LIGHTS,0.0,36.0
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,0.215,2247.0
37424,WHITE WITH BLACK CATS MUG,0.2868,7363.0
21136,PAINTED METAL PEARS ASSORTED,0.0207,10877.0
21238,RED SPOTTY CUP,0.0173,4851.0
21240,BLUE  SPOTTY CUP,0.0003,3396.0
21239,PINK  SPOTTY CUP,0.0051,3713.0
84007,MAGIC GARDEN MOUNT FUJI,0.0,159.0
84012,MAGIC SHEEP WOOL GROWING FROM PAPER,0.0612,1961.0
22077,6 RIBBONS RUSTIC CHARM,0.007,17693.0
85049A,TRADITIONAL CHRISTMAS RIBBONS,0.0074,6887.0
85049E,SCANDINAVIAN REDS RIBBONS,0.0041,6849.0
22075,6 RIBBONS ELEGANT CHRISTMAS,0.0035,3396.0
22076,6 RIBBONS EMPIRE,0.0,2380.0
79323LP,LIGHT PINK CHERRY LIGHTS,0.2422,1891.0
79342B,BROWN FLOWER LIGHTS,0.1111,135.0
79341,WILLOW BRANCH LIGHTS.,0.3819,1173.0
85226C,BLUE PULL BACK RACING CAR,0.0,991.0
85227,SET/6 3D KIT CARDS FOR KIDS,0.0,594.0
21976,PACK OF 60 MUSHROOM CAKE CASES,0.0037,14873.0
21498,RED SPOTS  WRAP,0.0039,12750.0
84948,SILVER HANGING T-LIGHT HOLDER DOME,0.0141,283.0
21537,RETRO SPOTS PUDDING BOWL,0.0263,304.0
20718,RED SPOTTY SHOPPER BAG,0.0018,7072.0
21173,LOO ROLL  METAL SIGN,0.0339,354.0
85124A,PINK JUICY FRUIT PHOTO FRAME,0.0203,395.0
21539,RETRO SPOTS BUTTER DISH,0.0258,892.0
16169F,WRAP BLIZZARD,0.0,975.0
21527,RETRO SPOT TRADITIONAL TEAPOT,0.0639,1079.0
21531,RETRO SPOT SUGAR JAM BOWL,0.0097,932.0
