CustomerID,RecencyDays,Frequency,Monetary
12477,22,12,20276.37
12478,3,1,680.99
12479,3,3,527.2
12480,28,8,5464.85
12481,22,18,12361.39
12482,449,32,23691.4
12483,17,27,5120.58
12484,32,16,6370.15
12485,529,1,708.1
12486,431,1,1037.28
12487,730,2,285.3
12488,9,3,1298.66
12489,336,1,334.93
12490,5,22,9823.64
12491,38,1,460.4
12492,63,3,715.21
12493,165,3,433.74
12494,9,17,1872.87
12495,634,2,357.4
12496,620,2,54.09
12497,81,4,6248.5
12498,21,3,403.7
12499,560,1,393.72
12500,23,25,5955.21
12501,315,2,2169.39
12502,95,5,3723.87
12503,337,2,1126.0
12504,18,6,779.05
12505,301,3,955.2
12506,232,1,73.5
12507,134,5,1844.06
12508,26,2,398.27
12509,284,1,176.5
12510,142,16,5178.02
12511,414,2,3084.02
12512,66,2,138.03
12513,84,2,612.29
12514,267,2,1597.76
12515,353,1,383.7
12516,77,4,2648.62
12517,28,6,2502.84
12518,0,5,2056.89
12519,63,3,726.54
12520,79,6,2634.26
12521,142,1,599.68
12522,39,2,192.72
12523,1,30,4372.15
12524,9,18,11126.11
12525,491,8,973.73
12526,0,3,1316.66
12527,81,5,735.51
12528,9,8,1933.48
12529,522,2,316.48
12530,59,12,3759.26
12531,14,3,1933.2
12532,30,1,349.83
12533,618,6,1367.89
12534,130,1,1089.18
12535,91,2,716.35
12536,7,5,12601.83
12537,408,1,732.94
12538,29,2,640.45
12539,22,8,11214.75
12540,19,36,22254.49
12541,29,3,981.18
12542,484,4,481.88
12543,448,1,980.25
12544,29,2,372.7
12545,75,2,1000.39
12546,46,3,1161.5
12547,197,3,383.58
12548,166,1,95.2
12549,575,6,1575.68
12550,79,1,964.83
12551,357,1,168.0
12552,38,2,437.82
12553,8,17,4608.75
12554,448,1,468.5
12555,682,1,129.23
12556,50,2,603.71
12557,16,8,18716.14
12558,1,2,269.96
12559,310,3,561.71
12560,5,4,2134.01
12561,302,1,238.85
12562,8,9,4966.92
12563,408,1,249.24
12564,261,1,456.9
12565,281,2,145.92
12566,72,2,351.65
12567,22,17,13709.86
12568,644,1,70.0
12569,2,35,4124.69
12570,682,1,77.52
12571,39,2,519.61
12572,8,3,1020.42
12573,227,5,717.41
12574,315,1,218.45
12575,457,2,622.82
12576,35,11,2142.72
12577,35,9,1653.75
12578,21,7,4642.45
12579,73,3,440.42
12580,246,2,1052.9
12581,39,1,197.71
12582,238,4,1980.4
12583,2,31,14447.44
12584,3,18,2338.15
12585,234,4,2040.1
12586,17,5,2062.67
12587,7,1,144.0
12588,39,5,958.78
12589,28,11,4695.66
12590,190,5,9864.26
12591,317,3,1352.15
12592,92,8,2582.66
12593,108,3,418.1
12594,37,17,5090.11
12595,504,1,299.02
12596,51,2,618.27
12597,19,5,3811.22
12598,9,15,4534.09
12599,29,13,2296.72
12600,28,26,5043.92
12601,189,7,681.26
12602,58,1,153.12
12603,21,1,739.2
12604,79,2,254.18
12605,365,5,1232.95
12606,682,1,21.0
12607,58,2,1579.51
12608,404,1,415.79
12609,78,10,3435.86
12610,22,7,2099.54
12611,52,1,1193.32
12612,57,2,704.04
12613,31,13,6835.07
12614,277,1,315.6
12615,2,11,5740.98
12616,85,7,1131.1
12617,29,1,355.53
12618,21,1,177.31
12619,16,14,3781.38
12620,14,3,1339.41
12621,1,44,24775.81
12622,232,1,180.1
12623,276,9,3747.84
12624,106,2,641.13
12625,211,5,5164.88
12626,23,13,6620.48
12627,10,7,4478.53
12628,4,4,786.46
12629,385,2,1558.22
12630,9,2,1270.88
12631,57,7,3481.57
12632,520,4,804.88
12633,58,10,5678.16
12634,535,2,490.0
12635,89,4,2930.41
12636,738,1,141.0
12637,67,14,8340.31
12638,33,2,921.49
12639,238,3,1312.37
12640,23,3,1174.58
12641,115,1,185.9
12642,25,3,1013.26
12643,128,14,8350.42
12644,129,6,1918.49
12645,33,10,3539.3
12646,4,2,1346.97
12647,22,45,17924.35
12648,154,5,1112.0
12649,107,10,2294.65
12650,3,1,314.44
12651,334,5,377.75
12652,322,3,1017.03
12653,148,3,4160.83
12654,10,5,601.98
12655,423,1,261.35
12656,17,12,6407.83
12657,11,5,1643.18
12658,18,1,686.05
12659,29,1,91.68
12660,11,1,245.1
12661,436,1,162.0
12662,0,22,6988.02
12663,624,3,239.4
12664,8,12,6070.04
12665,324,5,313.6
12666,359,2,1248.42
12667,58,1,620.13
12668,7,12,11444.68
12669,150,4,2744.03
12670,10,8,3760.29
12671,606,1,2622.48
12672,329,3,437.05
12673,5,3,1230.02
12674,11,7,1970.6
12675,553,4,958.5
12676,24,12,2843.09
12677,555,3,395.1
12678,42,23,34281.18
12679,52,9,1113.02
12680,0,4,880.81
12681,14,56,30868.28
12682,3,53,24033.91
12683,4,27,12696.78
12684,7,7,2283.63
12685,28,6,2863.08
12686,371,1,178.28
12687,480,2,2138.91
12688,113,1,4873.81
12689,25,2,1247.61
12690,205,1,389.01
12691,28,7,1170.4
12692,637,1,110.95
12693,120,11,1703.02
12694,70,4,1843.35
12695,7,7,1407.12
12696,434,3,851.91
12697,21,5,957.59
12698,590,1,339.75
12699,417,1,638.11
12700,7,6,4939.99
12701,79,6,2446.41
12702,19,1,219.0
12703,64,7,1006.53
12704,7,10,2340.84
12705,15,22,11762.1
12706,682,1,0.0
12707,291,1,603.42
12708,29,30,5314.1
12709,3,55,31093.34
12710,96,4,1149.02
12711,611,2,1339.05
12712,22,28,7193.66
12713,0,1,848.55
12714,9,12,14093.71
12715,106,1,353.86
12716,3,2,1053.49
12717,151,4,1308.91
12718,71,1,238.25
12719,5,3,644.95
12720,2,41,8260.67
12721,31,10,4013.08
12722,85,6,997.63
12723,3,5,725.07
12724,5,7,2317.52
12725,371,4,2694.56
12726,28,11,4014.6
12727,10,12,5679.53
12728,71,5,1070.17
12729,113,1,453.01
12730,521,1,829.25
12731,23,19,25775.71
12732,179,1,236.26
12733,234,6,2424.87
12734,352,3,639.65
12735,315,2,779.57
12736,332,1,234.0
12737,498,2,3710.5
12738,372,1,310.7
12739,78,4,2726.73
12740,63,1,427.6
12741,529,2,406.07
12742,599,2,1201.52
12743,134,2,546.43
12744,51,14,25317.06
12745,486,3,925.41
12746,527,3,254.55
12747,2,32,9276.54
12748,0,364,56599.39
12749,3,16,6897.36
12750,128,1,275.88
12751,444,1,268.27
12752,81,1,4366.78
12753,3,11,21429.39
12754,235,5,3010.74
12755,249,22,9030.66
12756,86,1,112.08
12757,15,19,7857.1
12758,116,8,9903.24
12759,52,8,5020.74
12760,455,1,347.8
12761,457,2,782.95
12762,7,2,1898.52
12763,138,2,814.16
12764,316,1,1693.88
12765,472,6,1404.58
12766,3,11,10068.28
12767,375,1,949.82
12768,431,2,168.69
12769,238,1,1143.6
12770,210,7,3246.45
12771,464,2,282.3
12772,59,1,892.47
12773,564,2,124.25
12774,535,1,98.7
12775,17,8,1686.12
12776,667,1,55.5
12777,457,1,519.45
12778,19,10,1775.68
12779,21,21,6722.27
12780,598,1,337.4
12781,21,5,826.74
12782,4,14,4618.24
12783,2,8,2225.91
12784,9,3,1804.75
12785,2,5,1100.4
12786,609,1,728.5
12787,9,5,862.18
12788,463,4,444.9
12789,65,3,273.35
12790,192,3,591.85
12791,373,8,1056.11
12792,256,3,827.01
12793,334,3,1017.33
12794,53,2,860.41
12795,18,1,430.48
12796,628,1,381.0
12797,360,6,806.11
12798,10,4,8510.93
12799,529,1,219.35
12800,470,3,584.25
12801,477,2,1071.82
12802,183,9,2416.42
12803,393,1,1092.81
12804,465,2,327.02
12805,381,4,1434.95
12806,435,4,2878.96
12807,382,3,330.35
12808,36,5,906.1
12809,168,8,1755.94
12810,534,2,534.99
12811,260,5,1033.9
12812,44,1,229.64
12813,501,3,1687.8
12814,101,1,125.92
12815,147,2,1063.46
12816,95,2,572.2
12817,281,3,690.98
12818,178,2,1542.08
12819,458,1,540.52
12820,3,13,2689.52
12821,214,2,220.8
12822,70,3,948.88
12823,74,18,6501.5
12824,59,1,397.12
12825,521,2,518.63
12826,2,15,2955.75
12827,5,3,430.15
12828,2,6,1018.71
12829,322,4,385.3
12830,37,7,6814.64
12831,262,3,451.11
12832,32,2,383.03
12833,145,1,417.38
12834,282,1,312.38
12835,418,49,6043.31
12836,59,17,6585.62
12837,173,2,688.41
12838,33,12,3398.48
12839,2,31,10071.73
12840,143,11,4041.97
12841,4,42,7540.68
12842,70,4,1917.99
12843,65,34,6588.41
12844,29,4,648.6
12845,267,4,354.09
12846,682,1,15.58
12847,22,2,1636.9
12848,675,1,208.0
12849,31,6,3090.56
12850,445,1,330.0
12851,96,2,284.13
12852,290,2,311.55
12853,107,16,3907.5
12854,78,11,2994.02
12855,372,4,650.94
12856,7,8,2179.93
12857,210,7,3688.0
12858,383,2,177.92
12859,458,1,575.1
12860,693,1,55.47
12861,619,1,68.25
12862,425,2,1008.32
12863,52,7,2792.55
12864,138,2,299.57
12865,26,5,3323.47
12866,283,3,1227.35
12867,26,16,7913.29
12868,185,8,2247.06
12869,681,1,337.67
12870,366,4,1676.95
12871,84,3,744.02
12872,326,13,3685.49
12873,282,3,2027.3
12874,385,3,948.42
12875,143,5,1356.99
12876,57,5,4081.79
12877,3,20,2955.17
12878,18,3,854.99
12879,44,4,573.22
12880,381,2,640.13
12881,275,1,298.0
12882,9,2,1463.04
12883,24,4,703.47
12884,88,1,309.05
12885,63,4,1175.22
12886,67,3,1378.4
12887,383,1,222.4
12888,214,4,354.12
12889,381,6,385.46
12890,24,2,717.27
12891,185,12,840.5
12892,396,1,263.38
12893,30,1,188.14
12894,575,1,157.35
12895,42,3,372.8
12896,730,1,0.0
12897,204,4,514.25
12898,463,2,310.96
12899,413,1,366.4
12900,422,1,340.33
12901,8,36,17654.54
12902,264,1,138.68
12903,428,1,833.53
12904,18,2,509.58
12905,576,3,1018.42
12906,11,5,2919.81
12907,395,3,508.91
12908,58,7,1776.0
12909,39,13,3103.19
12910,23,14,5796.52
12911,551,1,1680.47
12912,2,5,1662.3
12913,4,13,6700.86
12914,400,1,223.98
12915,148,8,1174.75
12916,138,8,4654.02
12917,128,8,4359.2
12918,626,3,10953.5
12919,8,8,1335.19
12920,17,4,488.09
12921,3,103,35921.04
12922,161,1,405.38
12923,64,3,789.87
12924,88,14,2469.4
12925,4,3,729.33
12926,411,4,1548.46
12927,394,1,197.31
12928,35,12,4304.89
12929,122,2,117.85
12930,78,4,415.8
12931,21,71,92347.34
12932,539,8,1698.56
12933,24,11,1687.03
12934,736,1,181.65
12935,2,19,4243.86
12936,17,5,1063.9
12937,15,9,3097.61
12938,25,1,114.14
12939,64,20,25264.8
12940,46,4,913.54
12941,724,1,377.49
12942,131,3,942.65
12943,301,4,496.5
12944,35,2,604.51
12945,288,2,900.11
12946,436,1,324.45
12947,143,11,1908.03
12948,16,10,2317.43
12949,30,28,15526.7
12950,2,3,1843.0
12951,8,20,3213.72
12952,5,5,1387.79
12953,9,2,828.81
12954,638,1,162.45
12955,1,14,4757.16
12956,306,4,521.89
12957,4,21,8706.97
12958,400,2,539.49
12959,484,2,150.95
12960,413,4,1322.07
12961,379,1,211.99
12962,7,2,266.39
12963,8,14,3601.59
12964,437,1,132.24
12965,89,1,771.91
12966,9,1,160.18
12967,3,5,4306.92
12968,112,1,135.95
12969,602,1,122.45
12970,7,10,1524.97
12971,3,120,15972.79
12972,413,6,1161.2
12973,413,1,385.55
12974,197,2,408.95
12975,430,8,2100.09
12976,211,8,3156.38
12977,156,4,517.63
12978,385,6,2502.82
12979,729,2,517.7
12980,155,26,16245.78
12981,29,2,372.22
12982,239,17,2744.81
12983,598,1,490.08
12984,18,1,97.5
12985,0,3,1239.38
12986,402,12,2729.84
12987,73,6,1312.21
12988,292,1,535.32
12989,3,39,13551.75
12990,31,7,955.5
12991,23,3,764.82
12992,725,1,93.35
12993,23,10,1259.63
12994,4,5,974.42
12995,77,2,211.32
12996,375,1,355.5
12997,22,16,2110.91
12998,492,4,920.08
12999,196,3,455.88
13000,106,5,1032.5
13001,4,37,24172.1
13002,318,3,414.13
13003,105,3,149.05
13004,11,46,11650.85
13005,173,6,999.68
13006,56,1,81.57
13007,579,1,175.25
13008,323,7,612.13
13009,672,1,234.0
13010,374,2,330.12
13011,372,1,101.1
13012,9,15,2972.83
13013,1,31,12625.77
13014,2,18,5381.08
13015,53,14,6586.42
13016,73,3,789.89
13017,7,1,204.0
13018,16,37,9763.16
13019,379,8,1229.95
13020,548,5,618.96
13021,4,24,4887.24
13022,429,1,65.3
13023,64,3,1449.03
13024,464,3,555.87
13025,731,1,323.39
13026,1,13,1733.08
13027,113,23,17335.2
13028,22,3,661.32
13029,30,5,1927.3
13030,11,2,1227.22
13031,407,5,3419.27
13032,38,11,2843.55
13033,357,2,220.55
13034,54,3,922.68
13035,57,4,1364.2
13036,684,1,307.1
13037,138,16,3914.95
13038,80,3,908.46
13039,584,4,1010.73
13040,8,2,676.99
13041,450,4,799.13
13042,584,4,1556.54
13043,253,2,516.42
13044,291,13,4853.9
13045,99,3,808.92
13046,30,3,949.25
13047,31,42,8795.16
13048,14,13,4084.21
13049,64,5,1408.24
13050,9,57,12344.53
13051,578,2,155.8
13052,212,7,3168.53
13053,621,1,127.65
13054,682,1,0.0
13055,64,6,2321.11
13056,551,1,209.48
13057,530,4,722.09
13058,24,3,271.4
13059,249,12,2303.17
13060,253,1,307.53
13061,72,1,248.61
13062,191,1,346.98
13063,480,1,188.4
13064,12,6,1680.74
13065,373,6,1260.91
13066,24,3,470.8
13067,82,3,508.51
13068,10,2,344.0
13069,0,42,9683.13
13070,192,5,751.7
13071,612,1,129.22
13072,266,1,177.15
13073,411,2,418.08
13074,511,5,1378.74
13075,129,1,919.61
13076,457,1,135.4
13077,1,14,3064.67
13078,1,95,29532.45
13079,4,6,419.18
13080,179,5,280.73
13081,1,44,59205.15
13082,126,25,7335.75
13083,4,3,395.43
13084,487,2,122.4
13085,157,10,2433.28
13086,382,1,439.33
13087,726,1,313.64
13088,417,1,236.11
13089,2,247,116737.86
13090,8,30,14103.09
13091,21,6,2321.82
13092,70,15,2140.28
13093,267,88,54943.65
13094,21,17,2433.12
13095,70,1,74.4
13096,394,1,419.7
13097,32,40,13389.22
13098,1,41,28882.44
13099,99,1,207.36
13100,624,1,0.0
13101,234,4,695.4
13102,1,42,11696.92
13103,39,3,709.64
13104,3,9,1709.1
13105,436,1,72.0
13106,128,3,603.46
13107,44,15,5253.07
13108,372,2,1098.52
13109,2,7,1134.03
13110,31,14,2957.47
13111,718,1,321.88
13112,541,3,20.6
13113,0,60,18625.73
13114,730,1,234.38
13115,8,23,5494.7
13116,117,2,501.14
13117,21,19,2643.81
13118,19,12,2415.41
13119,668,1,134.9
13120,238,1,30.6
13121,269,2,283.73
13122,94,2,922.39
13123,472,2,506.75
13124,89,4,4782.45
13125,523,1,158.57
13126,4,19,3998.25
13127,77,1,259.17
13128,631,1,263.5
13129,452,2,233.25
13130,94,1,64.0
13131,23,8,3313.77
13132,261,1,77.3
13133,273,3,200.45
13134,72,9,2475.23
13135,196,2,3371.45
13136,50,24,6274.56
13137,10,17,7712.7
13138,22,8,1467.24
13139,16,9,8202.98
13140,108,5,1215.68
13141,84,21,7668.58
13142,19,1,307.09
13143,582,2,405.1
13144,332,2,135.35
13145,39,8,1423.52
13146,26,1,228.91
13147,10,4,712.8
13148,29,36,8621.81
13149,14,4,1676.06
13150,470,4,449.97
13151,203,5,2580.74
13152,417,9,2146.38
13153,5,1,486.22
13154,144,5,1624.84
13155,33,6,1750.18
13156,385,3,1586.54
13157,49,10,5687.36
13158,94,5,1508.18
13159,8,5,1437.85
13160,22,1,91.8
13161,313,2,478.88
13162,122,19,9275.49
13163,610,2,17.65
13164,569,3,372.2
13165,46,3,1451.16
13166,282,3,884.18
13167,18,5,1125.15
13168,36,6,1875.31
13169,63,3,840.08
13170,26,1,116.01
13171,8,5,468.41
13172,400,1,69.6
13173,4,13,2639.35
13174,16,12,9494.84
13175,554,4,831.45
13176,46,1,492.84
13177,64,2,512.2
13178,26,25,14059.19
13179,618,1,572.31
13180,607,1,86.1
13181,381,1,359.69
13182,45,1,121.18
13183,7,18,7036.18
13184,14,12,1701.29
13185,267,1,71.4
13186,39,5,1575.89
13187,337,5,367.01
13188,11,1,114.6
13189,18,2,260.68
13190,544,4,570.66
13191,658,1,164.69
13192,95,8,2558.58
13193,61,1,117.88
13194,135,2,472.78
13195,414,1,172.38
13196,11,8,3068.84
13197,609,1,373.01
13198,10,12,4974.23
13199,3,69,16432.89
13200,19,4,870.09
13201,502,4,1240.61
13202,378,8,1580.3
13203,9,11,2648.25
13204,731,1,966.66
13205,443,1,2803.2
13206,400,15,8377.32
13207,15,4,535.86
13208,58,10,1988.5
13209,30,16,8509.51
13210,93,1,353.48
13211,10,12,2729.32
13212,9,4,788.08
13213,56,14,3851.52
13214,417,7,3264.23
13215,402,1,81.6
13216,267,1,333.74
13217,122,6,666.48
13218,127,1,62.64
13219,618,1,76.23
13220,78,5,1336.09
13221,240,2,847.41
13222,577,1,88.5
13223,200,6,969.12
13224,60,3,2155.95
13225,3,17,16260.07
13226,273,2,312.46
13227,201,1,257.7
13228,81,1,358.0
13229,225,1,160.95
13230,4,31,6360.78
13231,546,1,0.0
13232,12,7,1357.6
13233,74,4,1176.46
13234,672,2,356.95
13235,211,2,1031.07
13236,24,3,744.85
13237,387,1,643.0
13238,11,7,1006.63
13239,261,6,1594.69
13240,96,9,1738.52
13241,411,1,115.58
13242,112,7,699.4
13243,203,5,1278.04
13244,92,1,121.74
13245,50,2,989.22
13246,18,14,3387.43
13247,17,4,501.12
13248,124,2,465.68
13249,92,9,1608.93
13250,452,3,256.04
13251,402,1,252.68
13252,394,3,399.3
13253,156,4,2951.11
13254,376,1,51.41
13255,3,4,904.46
13257,427,3,149.75
13258,11,5,1035.18
13259,61,9,1433.38
13260,61,1,557.62
13261,268,2,944.1
13262,263,3,573.45
13263,1,39,8704.69
13264,442,1,722.56
13265,53,5,2107.66
13266,11,30,6135.04
13267,2,50,9758.26
13268,17,15,3214.69
13269,1,30,8891.7
13270,366,1,1180.0
13271,37,2,217.38
13272,31,2,276.56
13273,113,1,138.98
13274,409,1,360.85
13275,383,2,241.66
13276,63,7,1939.26
13277,15,7,523.3
13278,40,5,1435.85
13279,64,2,137.75
13280,122,8,2322.63
13281,437,3,350.85
13282,18,7,1313.19
13283,59,4,373.36
13284,322,2,201.19
13285,23,6,3364.59
13286,600,1,734.91
13287,583,7,781.59
13288,443,6,927.61
13289,723,1,307.95
13290,430,3,208.63
13291,155,11,3320.84
13292,38,6,994.51
13293,392,7,1192.94
13294,189,3,1689.53
13295,359,9,1101.97
13296,137,6,792.51
13297,7,8,4368.62
13298,1,1,360.0
13299,268,5,1218.7
13300,164,5,1285.51
13301,103,4,618.09
13302,155,2,159.2
13303,400,1,61.72
13304,351,7,1217.99
13305,4,16,3754.71
13306,430,1,53.65
13307,120,3,273.34
13308,22,5,1670.37
13309,7,6,1706.37
13310,8,8,1541.2
13311,4,2,598.57
13312,451,1,124.75
13313,22,15,3445.32
13314,1,4,775.94
13315,689,1,310.26
13316,37,12,13191.57
13317,64,31,6486.09
13318,1,3,640.76
13319,5,78,22082.5
13320,70,9,2228.1
13321,72,2,567.36
13322,17,1,199.48
13323,3,5,787.85
13324,32,23,10513.47
13325,81,1,675.3
13326,432,1,281.76
13327,38,22,9879.48
13328,316,1,1308.48
13329,31,14,5112.97
13330,92,6,2806.18
13331,401,1,262.4
13332,14,1,350.9
13333,411,3,1015.74
13334,82,6,6263.75
13335,540,1,0.0
13336,77,1,795.12
13337,518,2,1575.26
13338,154,10,2445.62
13339,200,1,860.12
13340,45,12,22100.56
13341,260,1,775.85
13342,582,1,0.0
13343,172,2,353.43
13344,67,3,2543.72
13345,276,2,389.5
13346,462,6,299.4
13347,70,1,341.36
13348,64,1,233.76
13349,10,1,247.32
13350,16,3,979.12
13351,66,1,373.94
13352,7,2,397.98
13353,388,1,0.0
13354,71,1,743.53
13355,122,1,674.7
13356,80,1,768.24
13357,257,5,3838.36
13358,268,1,439.03
13359,59,4,1043.31
13360,428,7,1553.65
13361,472,2,1450.5
13362,3,10,5394.07
13363,17,3,1723.86
13364,66,2,134.96
13365,8,4,2225.37
13366,50,1,56.16
13367,431,1,510.2
13368,256,5,1121.5
13369,354,2,616.56
13370,366,2,1509.74
13371,498,4,2297.66
13372,89,1,378.64
13373,60,6,7587.19
13374,414,2,422.8
13375,81,3,1792.23
13376,99,3,1019.76
13377,396,4,1552.88
13378,422,1,0.0
13379,26,3,572.56
13380,432,1,62.4
13381,21,15,8224.37
13382,280,5,1387.58
13383,543,1,305.28
13384,30,15,6680.83
13385,329,1,534.57
13386,414,2,835.46
13387,417,1,189.44
13388,121,4,1185.65
13389,11,3,797.96
13390,74,1,544.08
13391,203,1,59.8
13392,677,1,91.14
13393,583,6,1131.45
13394,1,24,6621.7
13395,185,3,1180.23
13396,21,4,1360.99
13397,72,13,3191.87
13398,192,2,670.34
13399,464,3,275.4
13400,574,2,310.83
13401,624,1,0.0
13402,127,4,1535.13
13403,17,3,229.5
13404,1,2,252.49
13405,74,9,1213.81
13406,427,3,568.92
13407,578,6,2244.7
13408,1,135,51733.46
13409,624,1,0.0
13410,8,12,2201.96
13411,107,1,213.55
13412,620,1,487.35
13413,639,8,429.44
13414,133,7,2494.14
13415,472,5,800.67
13416,43,3,940.8
13417,4,7,1669.49
13418,11,37,12233.6
13419,63,1,221.06
13420,134,4,159.85
13421,40,11,4103.12
13422,51,2,2626.3
13423,428,1,217.03
13424,444,2,572.77
13425,108,8,3403.63
13426,0,24,8167.38
13427,19,6,1006.53
13428,10,3,499.98
13429,10,4,1006.8
13430,18,4,679.45
13431,67,9,3316.24
13432,571,2,439.1
13433,437,5,658.32
13434,74,5,1666.86
13435,5,11,4475.23
13436,1,1,196.89
13437,14,7,3408.06
13438,547,1,46.5
13439,255,3,986.61
13440,423,10,1295.25
13441,91,2,720.9
13442,667,3,419.87
13443,448,7,1280.16
13444,374,2,631.68
13445,626,1,241.9
13446,420,18,3881.89
13447,23,4,1129.14
13448,16,19,9240.87
13449,23,1,291.88
13450,26,14,4120.04
13451,26,13,7190.92
13452,259,3,729.8
13453,165,5,781.69
13454,641,1,219.87
13455,24,11,2905.93
13456,17,7,1766.72
13457,688,4,148.22
13458,7,24,11959.27
13459,624,2,1160.41
13460,29,2,183.44
13461,38,8,4160.0
13462,183,6,1153.85
13463,420,1,0.0
13464,58,7,3097.64
13465,446,2,931.12
13466,100,7,1013.35
13467,10,2,1083.71
13468,1,87,13390.51
13469,653,1,82.4
13470,99,2,165.0
13471,1,4,2531.58
13472,463,2,592.24
13473,60,10,2657.76
13474,236,3,663.79
13475,191,4,1431.78
13476,178,7,2061.47
13477,37,13,2834.17
13478,469,7,2215.78
13479,198,7,851.37
13480,416,2,627.82
13481,45,14,3830.84
13482,232,2,336.09
13483,65,1,140.34
13484,241,4,790.72
13485,233,15,3019.22
13486,78,3,1122.41
13487,57,5,846.87
13488,17,29,15587.88
13489,105,4,449.52
13490,654,1,154.25
13491,51,27,4566.56
13492,136,3,1269.84
13493,275,2,618.63
13494,311,1,316.26
13495,7,13,5374.26
13496,10,3,653.33
13497,282,7,1320.33
13498,730,1,327.38
13499,17,7,1159.11
13500,23,5,1466.3
13501,242,5,2885.11
13502,16,6,780.5
13503,71,12,1905.39
13504,64,1,295.93
13505,67,8,4393.63
13506,312,8,1639.2
13507,3,4,2479.16
13508,243,2,287.05
13509,8,8,1114.72
13510,1,17,4558.29
13511,483,2,282.76
13512,260,4,713.39
13513,126,4,824.59
13514,73,4,815.9
13515,72,6,1265.82
13516,21,4,1685.26
13517,59,5,2128.42
13518,85,1,659.44
13519,50,3,343.21
13520,58,15,6909.4
13521,1,3,1093.65
13522,30,1,125.8
13523,33,7,5101.52
13524,40,5,680.18
13525,14,2,628.78
13526,738,4,1182.0
13527,33,14,4683.74
13528,682,1,0.0
13529,78,2,307.76
13530,634,1,402.98
13531,205,6,1738.52
13532,33,1,210.31
13533,182,3,270.79
13534,2,60,7720.9
13535,402,1,89.5
13536,1,7,3448.29
13537,425,2,717.85
13538,43,12,3112.73
13539,85,9,1569.36
13540,467,3,632.39
13541,423,3,785.25
13542,376,18,4006.17
13543,634,2,1439.61
13544,39,7,829.0
13545,390,3,374.64
13546,12,5,1092.14
13547,408,1,175.53
13548,96,3,908.99
13549,25,9,1005.8
13550,383,1,349.51
13551,319,2,244.2
13552,66,32,6978.92
13553,674,1,517.8
13554,380,10,1638.28
13555,73,16,8999.19
13556,429,2,200.82
13557,28,16,3032.26
13558,5,4,605.06
13559,512,2,990.0
