dt,SalesAmount,ReturnAmount,NetRevenue,NumInvoices
2010-02-02,21696.7,693.71,21002.99,59
2010-02-03,21450.19,141.94,21308.25,56
2010-02-04,22676.5,16.62,22659.88,66
2010-02-05,21931.04,1129.88,20801.16,67
2010-02-07,17078.21,254.44,16823.77,35
2010-02-08,17438.52,1448.7,15989.82,67
2010-02-09,19666.54,58.45,19608.09,57
2010-02-10,9583.09,488.57,9094.52,37
2010-02-11,15114.4,145.76,14968.64,63
2010-02-12,11393.61,69.2,11324.41,38
2010-02-14,17914.45,162.95,17751.5,51
2010-02-15,42784.78,1693.55,41091.23,50
2010-02-16,31203.68,250.55,30953.13,71
2010-02-17,26616.23,3913.77,22702.46,57
2010-02-18,35811.19,1581.83,34229.36,89
2010-02-19,27254.86,132.39,27122.47,62
2010-02-21,11477.91,2156.13,9321.78,60
2010-02-22,26359.13,139.98,26219.15,54
2010-02-23,22707.44,146.06,22561.38,56
2010-02-24,33086.29,275.0,32811.29,73
2010-02-25,46642.82,1236.14,45406.68,89
2010-02-26,16703.7,3435.5,13268.2,50
2010-02-28,16917.02,111.05,16805.97,58
2010-03-01,25831.21,442.47,25388.74,62
2010-03-02,26423.87,746.43,25677.44,88
2010-03-03,34114.91,224.78,33890.13,78
2010-03-04,32369.19,757.66,31611.53,91
2010-03-05,27684.73,0.0,27684.73,81
2010-03-07,20001.22,189.5,19811.72,66
2010-03-08,37256.01,426.0,36830.01,83
2010-03-09,22035.75,2648.8,19386.95,79
2010-03-10,27547.43,413.77,27133.66,81
2010-03-11,24591.91,111.0,24480.91,53
2010-03-12,21712.54,238.29,21474.25,42
2010-03-14,9032.7,12.75,9019.95,25
2010-03-15,27662.45,283.71,27378.74,69
2010-03-16,24059.94,966.29,23093.65,92
2010-03-17,30795.24,178.28,30616.96,53
2010-03-18,41145.01,520.26,40624.75,95
2010-03-19,45764.45,22132.42,23632.03,82
2010-03-21,20873.23,276.44,20596.79,64
2010-03-22,25614.49,908.29,24706.2,86
2010-03-23,56488.73,23996.76,32491.97,84
2010-03-24,30179.26,3001.53,27177.73,113
2010-03-25,38993.08,6516.92,32476.16,97
2010-03-26,32546.05,603.14,31942.91,78
2010-03-28,22562.62,14.3,22548.32,60
2010-03-29,59935.77,795.89,59139.88,95
2010-03-30,38630.01,1044.0,37586.01,105
2010-03-31,29718.33,271.69,29446.64,86
2010-04-01,30823.15,575.61,30247.54,85
2010-04-06,19476.52,447.1,19029.42,60
2010-04-07,34590.91,80.75,34510.16,66
2010-04-08,47626.52,417.05,47209.47,92
2010-04-09,16988.42,266.71,16721.71,55
2010-04-11,19967.32,77.85,19889.47,44
2010-04-12,27221.41,1223.08,25998.33,83
2010-04-13,26027.6,1044.56,24983.04,84
2010-04-14,27214.08,600.28,26613.8,61
2010-04-15,29613.48,10356.46,19257.02,88
2010-04-16,19561.05,1495.31,18065.74,47
2010-04-18,24096.88,692.01,23404.87,57
2010-04-19,45287.87,283.82,45004.05,81
2010-04-20,29204.7,4449.99,24754.71,77
2010-04-21,29469.46,1803.38,27666.08,74
2010-04-22,43505.03,7677.81,35827.22,130
2010-04-23,16737.31,1979.09,14758.22,64
2010-04-25,16774.12,355.8,16418.32,50
2010-04-26,36270.85,434.45,35836.4,103
2010-04-27,46378.58,495.17,45883.41,100
2010-04-28,32562.56,103.9,32458.66,78
2010-04-29,32848.17,1466.42,31381.75,103
2010-04-30,29283.0,1027.6,28255.4,84
2010-05-02,12367.83,333.95,12033.88,43
2010-05-04,22745.04,1494.52,21250.52,82
2010-05-05,28118.53,1289.97,26828.56,111
2010-05-06,54666.13,2149.02,52517.11,114
2010-05-07,35769.25,826.45,34942.8,73
2010-05-09,23143.29,53.15,23090.14,64
2010-05-10,32948.68,2536.37,30412.31,108
2010-05-11,28780.12,72.8,28707.32,70
2010-05-12,31407.31,122.7,31284.61,71
2010-05-13,41108.4,12698.47,28409.93,85
2010-05-14,18895.91,6951.21,11944.7,100
2010-05-16,18478.89,346.34,18132.55,47
2010-05-17,25562.62,1382.44,24180.18,72
2010-05-18,29021.78,1629.44,27392.34,83
2010-05-19,17831.08,704.33,17126.75,69
2010-05-20,25782.58,1709.37,24073.21,87
2010-05-21,27340.92,531.33,26809.59,73
2010-05-23,25457.97,418.54,25039.43,53
2010-05-24,35831.33,989.95,34841.38,79
2010-05-25,22463.37,722.56,21740.81,84
2010-05-26,38438.24,2732.68,35705.56,112
2010-05-27,30978.43,97.67,30880.76,97
2010-05-28,21906.2,4634.12,17272.08,95
2010-05-30,10814.96,108.65,10706.31,35
2010-06-01,15732.15,88.39,15643.76,53
2010-06-02,16236.29,103.42,16132.87,49
2010-06-03,29651.8,2528.61,27123.19,109
2010-06-04,21273.58,53.2,21220.38,54
2010-06-06,25686.0,262.92,25423.08,76
2010-06-07,49759.94,4424.05,45335.89,114
2010-06-08,54433.03,2798.42,51634.61,97
2010-06-09,38414.69,870.95,37543.74,87
2010-06-10,18389.4,2787.07,15602.33,100
2010-06-11,37802.25,4507.33,33294.92,96
2010-06-13,21616.44,135.6,21480.84,78
2010-06-14,24375.41,973.26,23402.15,72
2010-06-15,30542.48,2309.7,28232.78,70
2010-06-16,31335.03,127.99,31207.04,92
2010-06-17,58225.94,34232.33,23993.61,97
2010-06-18,18800.68,710.06,18090.62,60
2010-06-20,9113.43,12.75,9100.68,27
2010-06-21,21159.71,10.95,21148.76,45
2010-06-22,14749.68,84.6,14665.08,46
2010-06-23,27848.74,2.55,27846.19,69
2010-06-24,26729.66,1640.77,25088.89,109
2010-06-25,17719.42,15.25,17704.17,47
2010-06-27,18834.32,1262.5,17571.82,62
2010-06-28,53998.72,8635.04,45363.68,79
2010-06-29,35141.21,572.0,34569.21,79
2010-06-30,34700.14,3333.82,31366.32,135
2010-07-01,30314.81,363.01,29951.8,97
2010-07-02,16893.27,249.88,16643.39,57
2010-07-04,10493.66,7.95,10485.71,22
2010-07-05,32895.2,577.99,32317.21,109
2010-07-06,23503.99,204.9,23299.09,63
2010-07-07,32252.99,2008.46,30244.53,86
2010-07-08,20301.63,1763.84,18537.79,84
2010-07-09,37271.94,3513.66,33758.28,43
2010-07-11,7856.43,2.9,7853.53,29
2010-07-12,19885.9,284.9,19601.0,57
2010-07-13,21056.39,348.54,20707.85,61
2010-07-14,23860.81,2459.23,21401.58,106
2010-07-15,56662.69,5136.35,51526.34,89
2010-07-16,22603.54,2120.2,20483.34,102
2010-07-18,15214.11,203.74,15010.37,43
2010-07-19,30567.61,131.7,30435.91,65
2010-07-20,24853.87,404.95,24448.92,61
2010-07-21,22396.05,841.02,21555.03,84
2010-07-22,26860.99,703.18,26157.81,91
2010-07-23,25904.96,801.97,25102.99,55
2010-07-25,17431.3,179.2,17252.1,59
2010-07-26,25205.76,2409.49,22796.27,76
2010-07-27,28490.87,1682.45,26808.42,82
2010-07-28,23364.32,382.32,22982.0,85
2010-07-29,38422.54,4207.95,34214.59,97
2010-07-30,16147.31,455.01,15692.3,70
2010-08-01,30724.29,299.79,30424.5,39
2010-08-02,29175.51,192.97,28982.54,70
2010-08-03,26943.48,776.43,26167.05,82
2010-08-04,21425.14,800.93,20624.21,64
2010-08-05,24508.48,866.0,23642.48,64
2010-08-06,15219.6,1574.39,13645.21,56
2010-08-08,14147.14,74.36,14072.78,47
2010-08-09,31711.09,826.76,30884.33,64
2010-08-10,35820.32,960.73,34859.59,56
2010-08-11,23719.39,2014.37,21705.02,53
2010-08-12,29123.13,2425.72,26697.41,117
2010-08-13,37403.7,984.51,36419.19,67
2010-08-15,22356.69,339.71,22016.98,64
2010-08-16,20880.2,182.97,20697.23,50
2010-08-17,30395.63,406.62,29989.01,65
2010-08-18,37239.15,33.4,37205.75,60
2010-08-19,33052.15,427.85,32624.3,84
2010-08-20,25550.79,454.57,25096.22,66
2010-08-22,22766.81,63.6,22703.21,64
2010-08-23,21901.25,265.48,21635.77,60
2010-08-24,27485.09,2016.21,25468.88,73
2010-08-25,31715.03,1530.45,30184.58,91
2010-08-26,35363.46,756.53,34606.93,90
2010-08-27,18173.14,19856.64,-1683.5,40
2010-08-29,14509.78,6.35,14503.43,40
2010-08-31,35964.47,2361.23,33603.24,72
2010-09-01,23367.55,918.45,22449.1,82
2010-09-02,36501.87,1741.2,34760.67,99
2010-09-03,37258.14,404.49,36853.65,74
2010-09-05,12389.65,18.95,12370.7,36
2010-09-06,28785.63,239.05,28546.58,61
2010-09-07,27498.31,16.8,27481.51,55
2010-09-08,17635.87,212.97,17422.9,53
2010-09-09,25798.99,1906.32,23892.67,89
2010-09-10,17639.27,1085.75,16553.52,50
2010-09-12,15762.29,7.95,15754.34,49
2010-09-13,38443.68,259.37,38184.31,107
2010-09-14,21261.08,102.94,21158.14,67
2010-09-15,34838.27,280.6,34557.67,74
2010-09-16,40432.69,14046.55,26386.14,98
2010-09-17,21501.73,1048.6,20453.13,80
2010-09-19,23096.14,14.95,23081.19,60
2010-09-20,43949.12,2249.5,41699.62,100
2010-09-21,62951.83,1080.5,61871.33,136
2010-09-22,30623.8,1019.06,29604.74,86
2010-09-23,36287.77,107.89,36179.88,90
2010-09-24,50511.18,2845.79,47665.39,75
2010-09-26,21905.72,541.15,21364.57,76
2010-09-27,118909.67,21094.97,97814.7,110
2010-09-28,46550.84,12793.77,33757.07,171
2010-09-29,38789.98,1039.74,37750.24,115
2010-09-30,51641.94,5605.27,46036.67,117
2010-10-01,38701.58,950.58,37751.0,88
2010-10-03,38809.35,266.9,38542.45,90
2010-10-04,39399.48,328.39,39071.09,97
2010-10-05,84879.59,31222.92,53656.67,184
2010-10-06,30927.6,942.16,29985.44,71
2010-10-07,54453.87,2398.9,52054.97,157
2010-10-08,60336.02,834.55,59501.47,99
2010-10-10,23197.98,80.65,23117.33,71
2010-10-11,43509.87,415.96,43093.91,110
2010-10-12,50013.95,732.41,49281.54,142
2010-10-13,57949.72,4824.16,53125.56,101
2010-10-14,87526.41,1448.76,86077.65,116
2010-10-15,54917.81,10407.69,44510.12,131
2010-10-17,33361.71,369.56,32992.15,80
2010-10-18,41548.22,1953.67,39594.55,141
2010-10-19,50068.89,5940.12,44128.77,96
2010-10-20,45915.42,1189.89,44725.53,121
2010-10-21,39249.51,607.62,38641.89,118
2010-10-22,41150.03,2234.68,38915.35,123
2010-10-24,28877.25,107.45,28769.8,86
2010-10-25,29496.94,350.83,29146.11,93
2010-10-26,46073.36,613.27,45460.09,129
2010-10-27,32986.1,68.91,32917.19,76
2010-10-28,34490.35,11168.33,23322.02,82
2010-10-29,47284.2,1852.9,45431.3,87
2010-10-31,30358.7,78.43,30280.27,88
2010-11-01,29629.93,2456.61,27173.32,75
2010-11-02,45082.39,3747.19,41335.2,127
2010-11-03,45438.9,1155.81,44283.09,106
2010-11-04,90056.29,1317.98,88738.31,174
2010-11-05,46639.15,569.07,46070.08,95
2010-11-07,32024.41,241.54,31782.87,90
2010-11-08,90952.91,7164.06,83788.85,99
2010-11-09,66381.06,8237.82,58143.24,148
2010-11-10,80244.63,522.91,79721.72,151
2010-11-11,64240.98,3107.69,61133.29,184
2010-11-12,50851.12,254.09,50597.03,119
2010-11-14,29452.88,119.4,29333.48,94
2010-11-15,105185.54,201.99,104983.55,115
2010-11-16,73090.41,1456.69,71633.72,149
2010-11-17,51724.56,490.95,51233.61,133
2010-11-18,45066.24,550.58,44515.66,120
2010-11-19,48044.49,833.86,47210.63,145
2010-11-21,32448.6,94.68,32353.92,102
2010-11-22,43278.66,200.1,43078.56,103
2010-11-23,58561.66,4785.41,53776.25,151
2010-11-24,61907.52,3817.54,58089.98,186
2010-11-25,72511.2,723.02,71788.18,179
2010-11-26,40570.95,364.5,40206.45,92
2010-11-28,27594.86,506.26,27088.6,104
2010-11-29,79264.06,194.29,79069.77,115
2010-11-30,60029.08,4503.8,55525.28,167
2010-12-01,117921.58,650.46,117271.12,133
2010-12-02,95496.76,3082.2,92414.56,165
2010-12-03,93887.42,2646.5,91240.92,75
2010-12-05,63549.9,782.0,62767.9,95
2010-12-06,109660.92,1940.56,107720.36,120
2010-12-07,199236.4,109118.3,90118.1,102
2010-12-08,90779.96,2400.28,88379.68,139
2010-12-09,107172.36,2108.1,105064.26,141
2010-12-10,59182.92,1778.01,57404.91,84
2010-12-12,17329.07,88.15,17240.92,51
2010-12-13,38006.71,2627.37,35379.34,84
2010-12-14,45254.73,2411.44,42843.29,141
2010-12-15,30444.62,1000.93,29443.69,97
2010-12-16,49352.9,1018.55,48334.35,150
2010-12-17,45418.33,1884.14,43534.19,71
2010-12-19,7534.91,17.6,7517.31,25
2010-12-20,26789.13,2047.38,24741.75,88
2010-12-21,47304.09,206.15,47097.94,65
2010-12-22,6199.97,65.4,6134.57,22
2010-12-23,12076.11,279.8,11796.31,37
2011-01-04,16026.08,1075.6,14950.48,43
2011-01-05,32634.47,34200.7,-1566.23,72
2011-01-06,40382.85,2990.11,37392.74,76
2011-01-07,28836.59,1603.45,27233.14,58
2011-01-09,15778.2,67.4,15710.8,51
2011-01-10,24569.07,377.43,24191.64,44
2011-01-11,68655.59,838.46,67817.13,78
2011-01-12,24693.78,735.0,23958.78,59
2011-01-13,20624.64,91.1,20533.54,50
2011-01-14,47576.9,199.64,47377.26,56
2011-01-16,7242.06,125.45,7116.61,29
2011-01-17,29333.02,77.02,29256.0,55
2011-01-18,95978.05,77297.25,18680.8,49
2011-01-19,25934.57,348.76,25585.81,40
2011-01-20,21246.99,3251.08,17995.91,51
2011-01-21,32640.3,661.86,31978.44,62
2011-01-23,10400.25,114.3,10285.95,30
2011-01-24,25733.79,178.17,25555.62,59
2011-01-25,29077.47,1105.95,27971.52,86
2011-01-26,19922.29,428.97,19493.32,69
2011-01-27,23730.84,2638.7,21092.14,70
2011-01-28,20090.65,1522.88,18567.77,49
2011-01-30,6615.75,159.31,6456.44,25
2011-01-31,23640.36,1275.71,22364.65,85
2011-02-01,29034.99,601.77,28433.22,77
2011-02-02,21216.2,167.75,21048.45,70
2011-02-03,23479.83,135.25,23344.58,51
2011-02-04,25162.19,168.02,24994.17,58
2011-02-06,3457.11,0.0,3457.11,11
2011-02-07,25955.01,429.02,25525.99,51
2011-02-08,20949.92,221.78,20728.14,52
2011-02-09,16692.58,0.0,16692.58,29
2011-02-10,14896.46,1468.92,13427.54,64
2011-02-11,22873.1,2485.82,20387.28,89
2011-02-13,5713.63,178.23,5535.4,24
2011-02-14,26703.51,481.48,26222.03,54
2011-02-15,39875.74,3033.16,36842.58,66
2011-02-16,24949.1,218.29,24730.81,69
2011-02-17,26372.67,10.8,26361.87,72
2011-02-18,16208.75,280.35,15928.4,58
2011-02-20,9624.69,45.8,9578.89,29
2011-02-21,36388.75,12580.92,23807.83,57
2011-02-22,32498.35,205.73,32292.62,63
2011-02-23,26891.6,98.84,26792.76,67
2011-02-24,22809.84,154.01,22655.83,64
2011-02-25,20595.74,2565.9,18029.84,51
2011-02-27,9526.5,35.45,9491.05,35
2011-02-28,21755.63,1.95,21753.68,58
2011-03-01,26354.96,883.25,25471.71,66
2011-03-02,18690.79,394.34,18296.45,65
2011-03-03,36404.0,561.38,35842.62,69
2011-03-04,19506.8,31.93,19474.87,51
2011-03-06,10005.37,409.14,9596.23,35
2011-03-07,32356.55,1830.97,30525.58,105
2011-03-08,25081.62,64.15,25017.47,51
2011-03-09,22038.84,131.72,21907.12,59
2011-03-10,26120.22,522.33,25597.89,84
2011-03-11,25475.18,3479.9,21995.28,61
2011-03-13,4148.12,10.5,4137.62,17
2011-03-14,26019.55,154.96,25864.59,60
2011-03-15,23493.49,2833.46,20660.03,61
2011-03-16,21948.36,765.72,21182.64,58
2011-03-17,39904.94,1100.69,38804.25,88
2011-03-18,28171.79,11401.33,16770.46,76
2011-03-20,22153.49,172.85,21980.64,64
2011-03-21,16715.52,345.25,16370.27,69
2011-03-22,31515.58,203.23,31312.35,58
2011-03-23,24091.67,62.6,24029.07,68
2011-03-24,36697.14,135.04,36562.1,77
2011-03-25,31394.21,738.18,30656.03,65
2011-03-27,9241.35,261.37,8979.98,46
2011-03-28,23176.72,3969.69,19207.03,72
2011-03-29,70711.92,180.45,70531.47,70
2011-03-30,31885.28,396.03,31489.25,90
2011-03-31,34335.9,3331.82,31004.08,87
2011-04-01,25667.51,1275.73,24391.78,87
2011-04-03,6943.15,65.05,6878.1,22
2011-04-04,33254.24,8181.22,25073.02,75
2011-04-05,30144.77,1790.94,28353.83,66
2011-04-06,17362.36,83.01,17279.35,46
2011-04-07,18512.89,283.89,18229.0,74
2011-04-08,25295.64,1996.5,23299.14,81
2011-04-10,9913.98,550.1,9363.88,37
2011-04-11,22353.27,242.96,22110.31,73
2011-04-12,25570.3,446.05,25124.25,78
2011-04-13,24484.42,586.22,23898.2,75
2011-04-14,36104.07,808.49,35295.58,107
2011-04-15,28334.12,6.99,28327.13,57
2011-04-17,12725.5,21.2,12704.3,44
2011-04-18,56026.18,23840.57,32185.61,93
2011-04-19,24338.7,501.05,23837.65,75
2011-04-20,28670.47,431.08,28239.39,79
2011-04-21,32615.63,1417.03,31198.6,86
2011-04-26,31047.43,461.89,30585.54,82
2011-04-27,25942.44,351.88,25590.56,77
2011-04-28,22501.55,1259.65,21241.9,72
2011-05-01,6973.66,9.0,6964.66,21
2011-05-03,35229.41,15611.55,19617.86,84
2011-05-04,27544.15,81.85,27462.3,74
2011-05-05,29174.29,423.64,28750.65,107
2011-05-06,36126.35,411.77,35714.58,92
2011-05-08,18867.4,58.48,18808.92,67
2011-05-09,27899.71,1839.28,26060.43,81
2011-05-10,47819.98,2255.86,45564.12,115
2011-05-11,33687.25,446.89,33240.36,92
2011-05-12,61903.09,1991.12,59911.97,105
2011-05-13,30749.95,5.88,30744.07,74
2011-05-15,9924.28,0.0,9924.28,31
2011-05-16,39651.28,14371.51,25279.77,78
2011-05-17,55151.99,1548.16,53603.83,117
2011-05-18,34483.44,146.15,34337.29,80
2011-05-19,35599.35,1250.6,34348.75,119
2011-05-20,26718.17,461.65,26256.52,84
2011-05-22,24231.09,25.72,24205.37,62
2011-05-23,34685.6,3946.05,30739.55,100
2011-05-24,37660.04,631.13,37028.91,95
2011-05-25,24408.12,255.84,24152.28,76
2011-05-26,33497.03,288.44,33208.59,74
2011-05-27,28442.03,209.84,28232.19,80
2011-05-29,7394.3,186.0,7208.3,25
2011-05-31,22714.06,746.1,21967.96,62
2011-06-01,20595.69,404.49,20191.2,65
2011-06-02,32826.14,324.13,32502.01,76
2011-06-03,16913.25,162.25,16751.0,49
2011-06-05,25639.54,119.19,25520.35,70
2011-06-06,17789.07,997.68,16791.39,73
2011-06-07,37957.72,313.42,37644.3,93
2011-06-08,43264.33,323.42,42940.91,105
2011-06-09,46389.1,873.35,45515.75,98
2011-06-10,62234.44,39693.78,22540.66,63
2011-06-12,12517.06,33.2,12483.86,40
2011-06-13,22457.21,2084.28,20372.93,87
2011-06-14,40474.01,262.08,40211.93,63
2011-06-15,49097.99,2958.81,46139.18,76
2011-06-16,34584.68,452.95,34131.73,96
2011-06-17,21076.17,275.45,20800.72,59
2011-06-19,22442.18,82.17,22360.01,64
2011-06-20,37514.98,4021.58,33493.4,96
2011-06-21,24784.37,2054.36,22730.01,80
2011-06-22,21825.99,31.05,21794.94,64
2011-06-23,25242.82,969.51,24273.31,87
2011-06-24,19521.96,10902.08,8619.88,60
2011-06-26,7082.49,907.32,6175.17,36
2011-06-27,17015.76,191.9,16823.86,58
2011-06-28,35607.32,902.68,34704.64,68
2011-06-29,22088.32,312.89,21775.43,57
2011-06-30,44797.31,962.76,43834.55,79
2011-07-01,13675.06,503.24,13171.82,60
2011-07-03,6032.39,55.25,5977.14,27
2011-07-04,44652.83,498.08,44154.75,62
2011-07-05,40758.43,423.46,40334.97,84
2011-07-06,26387.54,107.96,26279.58,76
2011-07-07,32445.71,1087.99,31357.72,90
2011-07-08,27082.1,242.02,26840.08,77
2011-07-10,5993.87,301.8,5692.07,29
2011-07-11,22605.02,175.49,22429.53,64
2011-07-12,26262.55,370.51,25892.04,64
2011-07-13,22641.94,11029.89,11612.05,66
2011-07-14,33602.13,1026.17,32575.96,85
2011-07-15,14836.43,357.5,14478.93,51
2011-07-17,17194.56,19.9,17174.66,53
2011-07-18,38831.61,10388.34,28443.27,86
2011-07-19,50182.83,866.05,49316.78,84
2011-07-20,33308.24,6002.83,27305.41,70
2011-07-21,32818.54,1861.47,30957.07,99
2011-07-22,20124.86,109.63,20015.23,53
2011-07-24,27099.46,623.26,26476.2,63
2011-07-25,26887.15,199.5,26687.65,65
2011-07-26,21644.26,372.96,21271.3,71
2011-07-27,25602.93,34.48,25568.45,51
2011-07-28,56269.74,562.86,55706.88,104
2011-07-29,18790.4,696.19,18094.21,68
2011-07-31,33490.61,4.25,33486.36,43
2011-08-01,21388.92,26.08,21362.84,45
2011-08-02,26580.6,11633.33,14947.27,61
2011-08-03,28113.14,1038.12,27075.02,79
2011-08-04,65502.21,4473.56,61028.65,89
2011-08-05,21538.58,240.28,21298.3,60
2011-08-07,7578.91,114.79,7464.12,33
2011-08-08,23377.65,3390.5,19987.15,55
2011-08-09,27679.44,1056.24,26623.2,59
2011-08-10,28792.34,1318.12,27474.22,61
2011-08-11,72433.79,301.0,72132.79,83
2011-08-12,32231.35,57.75,32173.6,53
2011-08-14,5718.57,568.39,5150.18,37
2011-08-15,17243.97,38.43,17205.54,52
2011-08-16,19239.66,135.95,19103.71,58
2011-08-17,53499.96,4107.74,49392.22,63
2011-08-18,54106.93,881.26,53225.67,93
2011-08-19,17349.59,101.05,17248.54,61
2011-08-21,14576.86,27.65,14549.21,42
2011-08-22,29651.46,1673.05,27978.41,68
2011-08-23,25993.68,237.38,25756.3,73
2011-08-24,49035.36,11960.46,37074.9,100
2011-08-25,23827.46,1368.58,22458.88,92
2011-08-26,25626.44,76.21,25550.23,50
2011-08-28,10805.03,20.25,10784.78,39
2011-08-30,31866.31,225.41,31640.9,48
2011-08-31,25380.17,9262.17,16118.0,85
2011-09-01,37370.15,73.55,37296.6,80
2011-09-02,42322.02,576.95,41745.07,88
2011-09-04,17119.59,101.1,17018.49,53
2011-09-05,37157.14,313.1,36844.04,74
2011-09-06,28349.91,297.29,28052.62,70
2011-09-07,34413.53,287.88,34125.65,58
2011-09-08,27195.8,487.8,26708.0,83
2011-09-09,30075.62,757.93,29317.69,86
2011-09-11,35511.67,46.2,35465.47,78
2011-09-12,29738.33,699.02,29039.31,90
2011-09-13,55117.05,288.6,54828.45,75
2011-09-14,23592.98,232.32,23360.66,83
2011-09-15,78218.95,15275.14,62943.81,114
2011-09-16,27724.22,1866.16,25858.06,60
2011-09-18,15745.73,53.4,15692.33,28
2011-09-19,49269.88,3057.67,46212.21,91
2011-09-20,109612.03,325.82,109286.21,76
2011-09-21,48560.68,5616.61,42944.07,100
2011-09-22,59354.79,2277.96,57076.83,134
2011-09-23,40601.75,1175.27,39426.48,83
2011-09-25,31372.66,161.74,31210.92,78
2011-09-26,29335.17,692.9,28642.27,74
2011-09-27,36322.95,570.79,35752.16,102
2011-09-28,43749.06,366.02,43383.04,110
2011-09-29,46401.45,2937.12,43464.33,114
2011-09-30,44357.06,364.21,43992.85,88
2011-10-02,11634.53,10.95,11623.58,36
2011-10-03,66376.82,2162.04,64214.78,76
2011-10-04,48810.65,569.81,48240.84,96
2011-10-05,75593.63,349.2,75244.43,101
2011-10-06,62891.19,7584.91,55306.28,186
2011-10-07,53790.7,6252.68,47538.02,99
2011-10-09,12524.4,602.16,11922.24,41
2011-10-10,48239.18,3973.29,44265.89,129
2011-10-11,52572.94,14305.19,38267.75,97
2011-10-12,32159.28,2856.43,29302.85,100
2011-10-13,37446.18,379.01,37067.17,92
2011-10-14,36347.64,1122.1,35225.54,80
2011-10-16,22010.96,405.52,21605.44,39
2011-10-17,52062.2,4998.06,47064.14,105
2011-10-18,45332.16,694.32,44637.84,96
2011-10-19,42573.36,6569.93,36003.43,105
2011-10-20,61122.9,329.76,60793.14,106
2011-10-21,63226.64,265.38,62961.26,68
2011-10-23,12339.16,36.75,12302.41,45
2011-10-24,48752.91,10345.19,38407.72,122
2011-10-25,41314.64,507.15,40807.49,83
2011-10-26,38059.43,217.35,37842.08,102
2011-10-27,57291.72,9811.57,47480.15,131
2011-10-28,40565.7,1006.23,39559.47,91
2011-10-30,34571.23,25.95,34545.28,97
2011-10-31,57369.15,8893.7,48475.45,79
2011-11-01,29155.15,413.6,28741.55,93
2011-11-02,45888.34,649.28,45239.06,101
2011-11-03,63561.49,744.94,62816.55,115
2011-11-04,62977.36,2895.6,60081.76,132
2011-11-06,42946.34,33.94,42912.4,104
2011-11-07,85881.81,15880.73,70001.08,109
2011-11-08,57700.24,1052.58,56647.66,142
2011-11-09,66127.57,3528.14,62599.43,125
2011-11-10,71008.26,2052.02,68956.24,165
2011-11-11,55257.17,421.66,54835.51,115
2011-11-13,34069.92,549.7,33520.22,93
2011-11-14,114419.89,2278.78,112141.11,138
2011-11-15,60807.29,213.06,60594.23,118
2011-11-16,65958.17,1549.47,64408.7,143
2011-11-17,61103.13,773.41,60329.72,155
2011-11-18,51275.39,3243.59,48031.8,152
2011-11-20,35058.57,156.56,34902.01,105
2011-11-21,49805.72,1503.22,48302.5,116
2011-11-22,64089.82,1782.5,62307.32,155
2011-11-23,80104.18,1623.48,78480.7,149
2011-11-24,50978.63,2898.35,48080.28,123
2011-11-25,50822.73,380.01,50442.72,87
2011-11-27,20611.08,39.58,20571.5,59
2011-11-28,57165.19,1723.17,55442.02,126
2011-11-29,72595.93,376.73,72219.2,146
2011-11-30,60126.96,975.98,59150.98,144
